Command,RackLabel,Position,Volume,LiquidClass,Comment
C,,1,0.0,,Sample transfer protocol generated by PyFluent
A,SourcePlate,1,100.0,Water Free Single,
D,DestPlate,1,100.0,Water Free Single,
A,SourcePlate,2,100.0,Water Free Single,
D,DestPlate,2,100.0,Water Free Single,
A,SourcePlate,3,100.0,Water Free Single,
D,DestPlate,3,100.0,Water Free Single,
A,SourcePlate,4,100.0,Water Free Single,
D,DestPlate,4,100.0,Water Free Single,
A,SourcePlate,5,50.0,Water Free Single,
D,DestPlate,5,50.0,Water Free Single,
A,SourcePlate,6,50.0,Water Free Single,
D,DestPlate,6,50.0,Water Free Single,
A,SourcePlate,7,50.0,Water Free Single,
D,DestPlate,7,50.0,Water Free Single,
A,SourcePlate,8,50.0,Water Free Single,
D,DestPlate,8,50.0,Water Free Single,
C,,1,0.0,,Adding reagent
B,,1,0.0,,
A,Reagent,1,100.0,Water Free Single,
D,DestPlate,1,25.0,Water Free Single,
D,DestPlate,2,25.0,Water Free Single,
D,DestPlate,3,25.0,Water Free Single,
D,DestPlate,4,25.0,Water Free Single,
